socp	onet
1110XX	11-1011.00
1110XX	11-1011.03
111021	11-1021.00
1110XX	11-1031.00
112011	11-2011.00
112011	11-2011.01
112020	11-2021.00
112020	11-2022.00
112031	11-2031.00
113011	11-3011.00
113021	11-3021.00
113031	11-3031.00
113031	11-3031.01
113031	11-3031.02
113051	11-3051.00
113051	11-3051.01
113051	11-3051.02
113051	11-3051.03
113051	11-3051.04
113051	11-3051.05
113051	11-3051.06
113061	11-3061.00
113071	11-3071.00
113071	11-3071.01
113071	11-3071.02
113071	11-3071.03
113111	11-3111.00
113121	11-3121.00
113131	11-3131.00
119013	11-9013.00
119013	11-9013.01
119013	11-9013.02
119013	11-9013.03
119021	11-9021.00
119030	11-9031.00
119030	11-9032.00
119030	11-9033.00
119030	11-9039.00
119030	11-9039.01
119030	11-9039.02
119041	11-9041.00
119041	11-9041.01
119051	11-9051.00
119XXX	11-9061.00
119071	11-9071.00
119081	11-9081.00
119111	11-9111.00
119121	11-9121.00
119121	11-9121.01
119121	11-9121.02
119XXX	11-9131.00
119141	11-9141.00
119151	11-9151.00
119161	11-9161.00
119XXX	11-9199.00
119XXX	11-9199.01
119XXX	11-9199.02
119XXX	11-9199.03
119XXX	11-9199.04
119XXX	11-9199.07
119XXX	11-9199.08
119XXX	11-9199.09
119XXX	11-9199.10
119XXX	11-9199.11
131011	13-1011.00
131021	13-1021.00
131022	13-1022.00
131023	13-1023.00
131030	13-1031.00
131030	13-1031.01
131030	13-1031.02
131030	13-1032.00
131041	13-1041.00
131041	13-1041.01
131041	13-1041.02
131041	13-1041.03
131041	13-1041.04
131041	13-1041.06
131041	13-1041.07
131051	13-1051.00
131070	13-1071.00
131070	13-1074.00
131070	13-1075.00
131081	13-1081.00
131081	13-1081.01
131081	13-1081.02
131111	13-1111.00
131121	13-1121.00
131131	13-1131.00
131141	13-1141.00
131151	13-1151.00
131161	13-1161.00
131199	13-1199.00
131199	13-1199.01
131199	13-1199.02
131199	13-1199.03
131199	13-1199.04
131199	13-1199.05
131199	13-1199.06
132011	13-2011.00
132011	13-2011.01
132011	13-2011.02
132021	13-2021.00
132021	13-2021.01
132021	13-2021.02
132031	13-2031.00
132041	13-2041.00
132051	13-2051.00
132052	13-2052.00
132053	13-2053.00
