onet	ks	element_name	level	importance
11-1011.00	skill	Reading Comprehension	4.75	4.12
11-1011.00	skill	Active Listening	4.88	4.12
11-1011.00	skill	Writing	4.38	4.00
11-1011.00	skill	Speaking	4.88	4.38
11-1011.00	skill	Mathematics	3.62	3.25
11-1011.00	skill	Science	1.12	1.88
11-1011.00	skill	Critical Thinking	4.75	4.38
11-1011.00	skill	Active Learning	4.75	4.00
11-1011.00	skill	Learning Strategies	3.88	3.12
11-1011.00	skill	Monitoring	5.50	4.12
11-1011.00	skill	Social Perceptiveness	4.25	4.25
11-1011.00	skill	Coordination	5.12	4.25
11-1011.00	skill	Persuasion	5.00	4.12
11-1011.00	skill	Negotiation	4.62	4.12
11-1011.00	skill	Instructing	3.88	3.12
11-1011.00	skill	Service Orientation	3.38	3.12
11-1011.00	skill	Complex Problem Solving	5.00	4.38
11-1011.00	skill	Operations Analysis	4.25	3.12
11-1011.00	skill	Technology Design	0.75	1.75
11-1011.00	skill	Equipment Selection	0.62	1.12
11-1011.00	skill	Installation	0.00	1.00
11-1011.00	skill	Programming	0.62	1.62
11-1011.00	skill	Operation Monitoring	1.62	1.88
11-1011.00	skill	Operation and Control	1.50	1.75
11-1011.00	skill	Equipment Maintenance	0.00	1.00
11-1011.00	skill	Troubleshooting	0.00	1.00
11-1011.00	skill	Repairing	0.00	1.00
11-1011.00	skill	Quality Control Analysis	1.00	1.75
11-1011.00	skill	Judgment and Decision Making	5.75	4.50
11-1011.00	skill	Systems Analysis	5.38	4.12
11-1011.00	skill	Systems Evaluation	5.12	4.12
11-1011.00	skill	Time Management	4.75	4.00
11-1011.00	skill	Management of Financial Resources	5.50	4.12
11-1011.00	skill	Management of Material Resources	4.75	3.88
11-1011.00	skill	Management of Personnel Resources	5.38	4.25
11-1011.03	skill	Reading Comprehension	4.25	4.00
11-1011.03	skill	Active Listening	4.12	3.88
11-1011.03	skill	Writing	4.38	3.88
11-1011.03	skill	Speaking	4.25	4.00
11-1011.03	skill	Mathematics	3.38	2.75
11-1011.03	skill	Science	1.50	1.75
11-1011.03	skill	Critical Thinking	4.12	4.00
11-1011.03	skill	Active Learning	3.75	3.50
11-1011.03	skill	Learning Strategies	3.50	3.38
11-1011.03	skill	Monitoring	4.12	3.62
11-1011.03	skill	Social Perceptiveness	3.62	3.75
11-1011.03	skill	Coordination	3.75	3.62
11-1011.03	skill	Persuasion	3.88	3.62
11-1011.03	skill	Negotiation	3.25	2.88
11-1011.03	skill	Instructing	3.38	3.25
11-1011.03	skill	Service Orientation	3.38	3.25
11-1011.03	skill	Complex Problem Solving	4.25	4.00
11-1011.03	skill	Operations Analysis	3.38	2.62
11-1011.03	skill	Technology Design	1.00	1.62
11-1011.03	skill	Equipment Selection	0.50	1.12
11-1011.03	skill	Installation	0.00	1.00
11-1011.03	skill	Programming	0.88	1.62
11-1011.03	skill	Operation Monitoring	2.12	2.25
11-1011.03	skill	Operation and Control	1.25	1.62
11-1011.03	skill	Equipment Maintenance	0.00	1.00
11-1011.03	skill	Troubleshooting	0.12	1.12
11-1011.03	skill	Repairing	0.00	1.00
11-1011.03	skill	Quality Control Analysis	2.12	2.25
11-1011.03	skill	Judgment and Decision Making	3.75	3.75
11-1011.03	skill	Systems Analysis	3.88	3.62
11-1011.03	skill	Systems Evaluation	3.75	3.62
11-1011.03	skill	Time Management	3.50	3.38
11-1011.03	skill	Management of Financial Resources	3.38	2.62
11-1011.03	skill	Management of Material Resources	2.62	2.38
11-1011.03	skill	Management of Personnel Resources	3.75	3.38
11-1021.00	skill	Reading Comprehension	4.00	3.88
11-1021.00	skill	Active Listening	4.00	4.00
11-1021.00	skill	Writing	3.88	3.25
11-1021.00	skill	Speaking	4.00	4.00
11-1021.00	skill	Mathematics	2.50	2.38
11-1021.00	skill	Science	1.12	1.88
11-1021.00	skill	Critical Thinking	4.00	3.88
11-1021.00	skill	Active Learning	3.62	3.50
11-1021.00	skill	Learning Strategies	3.25	3.00
11-1021.00	skill	Monitoring	4.00	4.00
11-1021.00	skill	Social Perceptiveness	4.00	4.00
11-1021.00	skill	Coordination	3.88	4.00
11-1021.00	skill	Persuasion	3.50	3.38
11-1021.00	skill	Negotiation	3.62	3.62
11-1021.00	skill	Instructing	3.25	3.12
11-1021.00	skill	Service Orientation	3.12	3.25
11-1021.00	skill	Complex Problem Solving	3.75	3.50
11-1021.00	skill	Operations Analysis	3.12	2.75
11-1021.00	skill	Technology Design	1.12	1.88
11-1021.00	skill	Equipment Selection	0.00	1.00
11-1021.00	skill	Installation	0.00	1.00
11-1021.00	skill	Programming	0.62	1.50
11-1021.00	skill	Operation Monitoring	2.62	2.75
11-1021.00	skill	Operation and Control	1.75	2.00
11-1021.00	skill	Equipment Maintenance	0.00	1.00
11-1021.00	skill	Troubleshooting	1.38	2.00
11-1021.00	skill	Repairing	0.00	1.00
11-1021.00	skill	Quality Control Analysis	2.12	2.38
11-1021.00	skill	Judgment and Decision Making	3.75	3.50
11-1021.00	skill	Systems Analysis	3.00	3.00
11-1021.00	skill	Systems Evaluation	3.12	3.00
11-1021.00	skill	Time Management	3.75	3.75
11-1021.00	skill	Management of Financial Resources	3.38	3.12
11-1021.00	skill	Management of Material Resources	3.25	3.25
11-1021.00	skill	Management of Personnel Resources	3.88	3.50
11-2011.00	skill	Reading Comprehension	4.12	3.75
11-2011.00	skill	Active Listening	4.12	4.00
11-2011.00	skill	Writing	3.88	3.75
11-2011.00	skill	Speaking	4.38	4.00
11-2011.00	skill	Mathematics	3.12	3.00
11-2011.00	skill	Science	0.88	1.50
11-2011.00	skill	Critical Thinking	4.12	3.75
11-2011.00	skill	Active Learning	4.00	3.25
11-2011.00	skill	Learning Strategies	3.50	2.75
11-2011.00	skill	Monitoring	4.25	3.25
11-2011.00	skill	Social Perceptiveness	3.75	4.00
11-2011.00	skill	Coordination	4.38	3.50
11-2011.00	skill	Persuasion	3.62	3.25
11-2011.00	skill	Negotiation	3.75	3.38
11-2011.00	skill	Instructing	3.50	2.88
11-2011.00	skill	Service Orientation	3.25	3.12
11-2011.00	skill	Complex Problem Solving	4.00	3.50
11-2011.00	skill	Operations Analysis	3.25	2.88
11-2011.00	skill	Technology Design	0.88	1.62
11-2011.00	skill	Equipment Selection	0.50	1.25
11-2011.00	skill	Installation	0.00	1.00
11-2011.00	skill	Programming	0.62	1.38
11-2011.00	skill	Operation Monitoring	1.00	1.62
