onet	personality_trait	score
11-1011.00	Realistic	1.33
11-1011.00	Investigative	2.00
11-1011.00	Artistic	2.67
11-1011.00	Social	3.67
11-1011.00	Enterprising	7.00
11-1011.00	Conventional	5.33
11-1011.03	Realistic	1.00
11-1011.03	Investigative	4.33
11-1011.03	Artistic	2.67
11-1011.03	Social	2.33
11-1011.03	Enterprising	7.00
11-1011.03	Conventional	4.33
11-1021.00	Realistic	1.33
11-1021.00	Investigative	1.33
11-1021.00	Artistic	1.00
11-1021.00	Social	3.33
11-1021.00	Enterprising	7.00
11-1021.00	Conventional	3.67
11-1031.00	Realistic	1.00
11-1031.00	Investigative	3.67
11-1031.00	Artistic	3.67
11-1031.00	Social	4.67
11-1031.00	Enterprising	7.00
11-1031.00	Conventional	3.00
11-2011.00	Realistic	1.67
11-2011.00	Investigative	2.00
11-2011.00	Artistic	5.33
11-2011.00	Social	2.33
11-2011.00	Enterprising	7.00
11-2011.00	Conventional	4.67
11-2011.01	Realistic	1.00
11-2011.01	Investigative	5.33
11-2011.01	Artistic	4.33
11-2011.01	Social	2.33
11-2011.01	Enterprising	5.33
11-2011.01	Conventional	3.00
11-2021.00	Realistic	1.00
11-2021.00	Investigative	2.33
11-2021.00	Artistic	3.67
11-2021.00	Social	2.67
11-2021.00	Enterprising	7.00
11-2021.00	Conventional	5.33
11-2022.00	Realistic	3.00
11-2022.00	Investigative	2.00
11-2022.00	Artistic	2.00
11-2022.00	Social	3.67
11-2022.00	Enterprising	7.00
11-2022.00	Conventional	4.67
11-2031.00	Realistic	1.33
11-2031.00	Investigative	1.33
11-2031.00	Artistic	5.00
11-2031.00	Social	3.67
11-2031.00	Enterprising	7.00
11-2031.00	Conventional	3.67
11-3011.00	Realistic	2.00
11-3011.00	Investigative	2.33
11-3011.00	Artistic	1.00
11-3011.00	Social	2.67
11-3011.00	Enterprising	7.00
11-3011.00	Conventional	5.33
11-3021.00	Realistic	4.00
11-3021.00	Investigative	4.33
11-3021.00	Artistic	1.67
11-3021.00	Social	1.67
11-3021.00	Enterprising	6.67
11-3021.00	Conventional	5.33
11-3031.01	Realistic	1.67
11-3031.01	Investigative	2.67
11-3031.01	Artistic	1.00
11-3031.01	Social	2.67
11-3031.01	Enterprising	6.00
11-3031.01	Conventional	7.00
11-3031.02	Realistic	1.67
11-3031.02	Investigative	1.67
11-3031.02	Artistic	1.33
11-3031.02	Social	3.33
11-3031.02	Enterprising	7.00
11-3031.02	Conventional	5.00
11-3051.00	Realistic	2.67
11-3051.00	Investigative	2.33
11-3051.00	Artistic	1.33
11-3051.00	Social	3.33
11-3051.00	Enterprising	7.00
11-3051.00	Conventional	6.00
11-3051.01	Realistic	4.33
11-3051.01	Investigative	3.33
11-3051.01	Artistic	1.33
11-3051.01	Social	2.00
11-3051.01	Enterprising	7.00
11-3051.01	Conventional	5.67
11-3051.02	Realistic	3.67
11-3051.02	Investigative	3.33
11-3051.02	Artistic	2.00
11-3051.02	Social	1.67
11-3051.02	Enterprising	7.00
11-3051.02	Conventional	5.67
11-3051.03	Realistic	4.00
11-3051.03	Investigative	3.33
11-3051.03	Artistic	1.33
11-3051.03	Social	2.00
11-3051.03	Enterprising	7.00
11-3051.03	Conventional	5.67
11-3051.04	Realistic	5.00
11-3051.04	Investigative	3.00
11-3051.04	Artistic	1.33
11-3051.04	Social	2.00
11-3051.04	Enterprising	7.00
11-3051.04	Conventional	5.67
11-3051.05	Realistic	4.67
11-3051.05	Investigative	3.00
11-3051.05	Artistic	1.67
11-3051.05	Social	1.33
11-3051.05	Enterprising	5.33
11-3051.05	Conventional	6.67
11-3051.06	Realistic	3.67
11-3051.06	Investigative	3.00
11-3051.06	Artistic	1.33
11-3051.06	Social	1.33
11-3051.06	Enterprising	7.00
11-3051.06	Conventional	5.67
11-3061.00	Realistic	2.67
11-3061.00	Investigative	2.00
11-3061.00	Artistic	1.33
11-3061.00	Social	2.67
11-3061.00	Enterprising	7.00
11-3061.00	Conventional	5.33
11-3071.01	Realistic	2.67
11-3071.01	Investigative	2.00
11-3071.01	Artistic	1.67
11-3071.01	Social	2.00
11-3071.01	Enterprising	7.00
11-3071.01	Conventional	5.33
11-3071.02	Realistic	3.33
11-3071.02	Investigative	1.00
11-3071.02	Artistic	1.00
11-3071.02	Social	2.33
11-3071.02	Enterprising	7.00
11-3071.02	Conventional	5.00
11-3071.03	Realistic	3.00
11-3071.03	Investigative	2.00
11-3071.03	Artistic	1.33
11-3071.03	Social	1.33
11-3071.03	Enterprising	7.00
11-3071.03	Conventional	5.33
11-3111.00	Realistic	1.00
11-3111.00	Investigative	1.33
11-3111.00	Artistic	1.67
11-3111.00	Social	4.67
11-3111.00	Enterprising	7.00
11-3111.00	Conventional	5.33
11-3121.00	Realistic	1.33
11-3121.00	Investigative	2.33
11-3121.00	Artistic	2.33
11-3121.00	Social	5.67
11-3121.00	Enterprising	7.00
11-3121.00	Conventional	5.00
11-3131.00	Realistic	1.33
11-3131.00	Investigative	2.00
11-3131.00	Artistic	3.67
11-3131.00	Social	6.00
11-3131.00	Enterprising	7.00
11-3131.00	Conventional	4.00
11-9013.01	Realistic	6.00
11-9013.01	Investigative	2.33
11-9013.01	Artistic	2.67
11-9013.01	Social	2.67
11-9013.01	Enterprising	7.00
11-9013.01	Conventional	4.67
11-9013.02	Realistic	6.67
11-9013.02	Investigative	2.67
11-9013.02	Artistic	1.33
11-9013.02	Social	1.67
11-9013.02	Enterprising	7.00
11-9013.02	Conventional	5.00
11-9013.03	Realistic	6.00
11-9013.03	Investigative	3.67
11-9013.03	Artistic	1.67
11-9013.03	Social	1.67
11-9013.03	Enterprising	7.00
11-9013.03	Conventional	4.67
11-9021.00	Realistic	5.67
11-9021.00	Investigative	2.00
11-9021.00	Artistic	1.33
11-9021.00	Social	2.00
11-9021.00	Enterprising	7.00
11-9021.00	Conventional	4.67
11-9031.00	Realistic	1.00
11-9031.00	Investigative	1.67
11-9031.00	Artistic	2.67
11-9031.00	Social	6.00
11-9031.00	Enterprising	6.00
11-9031.00	Conventional	4.00
11-9032.00	Realistic	1.33
11-9032.00	Investigative	2.00
11-9032.00	Artistic	2.67
11-9032.00	Social	6.33
11-9032.00	Enterprising	6.67
11-9032.00	Conventional	4.33
11-9033.00	Realistic	1.00
11-9033.00	Investigative	3.00
11-9033.00	Artistic	3.00
11-9033.00	Social	4.67
11-9033.00	Enterprising	7.00
11-9033.00	Conventional	5.00
11-9039.01	Realistic	1.33
11-9039.01	Investigative	3.33
11-9039.01	Artistic	2.67
11-9039.01	Social	2.33
11-9039.01	Enterprising	6.00
11-9039.01	Conventional	4.67
11-9039.02	Realistic	3.67
11-9039.02	Investigative	2.67
11-9039.02	Artistic	2.33
11-9039.02	Social	4.67
11-9039.02	Enterprising	6.67
11-9039.02	Conventional	3.33
11-9041.00	Realistic	4.67
11-9041.00	Investigative	4.67
11-9041.00	Artistic	1.67
11-9041.00	Social	1.33
11-9041.00	Enterprising	7.00
11-9041.00	Conventional	4.00
11-9041.01	Realistic	3.00
11-9041.01	Investigative	6.00
11-9041.01	Artistic	1.67
11-9041.01	Social	2.00
11-9041.01	Enterprising	6.67
11-9041.01	Conventional	3.33
11-9051.00	Realistic	4.33
11-9051.00	Investigative	1.67
11-9051.00	Artistic	1.67
11-9051.00	Social	4.33
11-9051.00	Enterprising	7.00
11-9051.00	Conventional	5.33
11-9061.00	Realistic	1.33
11-9061.00	Investigative	2.00
11-9061.00	Artistic	2.00
11-9061.00	Social	4.33
11-9061.00	Enterprising	7.00
11-9061.00	Conventional	4.67
11-9071.00	Realistic	3.33
11-9071.00	Investigative	2.00
11-9071.00	Artistic	1.67
11-9071.00	Social	3.00
11-9071.00	Enterprising	7.00
11-9071.00	Conventional	5.00
11-9081.00	Realistic	3.00
11-9081.00	Investigative	1.67
11-9081.00	Artistic	1.33
11-9081.00	Social	4.00
11-9081.00	Enterprising	7.00
11-9081.00	Conventional	5.33
11-9111.00	Realistic	1.67
11-9111.00	Investigative	3.33
11-9111.00	Artistic	1.67
11-9111.00	Social	5.00
11-9111.00	Enterprising	7.00
11-9111.00	Conventional	5.00
11-9121.00	Realistic	3.00
11-9121.00	Investigative	5.33
11-9121.00	Artistic	1.33
11-9121.00	Social	1.67
11-9121.00	Enterprising	7.00
11-9121.00	Conventional	3.00
11-9121.01	Realistic	1.33
11-9121.01	Investigative	5.33
11-9121.01	Artistic	2.67
11-9121.01	Social	2.00
11-9121.01	Enterprising	6.33
11-9121.01	Conventional	4.33
11-9121.02	Realistic	2.67
11-9121.02	Investigative	6.67
11-9121.02	Artistic	2.00
11-9121.02	Social	1.67
11-9121.02	Enterprising	4.33
11-9121.02	Conventional	4.00
11-9131.00	Realistic	3.00
11-9131.00	Investigative	1.67
11-9131.00	Artistic	1.00
11-9131.00	Social	4.33
11-9131.00	Enterprising	7.00
11-9131.00	Conventional	5.67
11-9141.00	Realistic	3.00
11-9141.00	Investigative	1.00
11-9141.00	Artistic	1.33
11-9141.00	Social	3.67
11-9141.00	Enterprising	7.00
11-9141.00	Conventional	5.67
11-9151.00	Realistic	1.00
11-9151.00	Investigative	1.33
11-9151.00	Artistic	2.67
11-9151.00	Social	6.00
11-9151.00	Enterprising	6.67
11-9151.00	Conventional	3.33
11-9161.00	Realistic	3.67
11-9161.00	Investigative	3.00
11-9161.00	Artistic	2.00
11-9161.00	Social	6.33
11-9161.00	Enterprising	5.67
11-9161.00	Conventional	3.67
11-9199.01	Realistic	1.67
11-9199.01	Investigative	2.00
11-9199.01	Artistic	1.67
11-9199.01	Social	3.33
11-9199.01	Enterprising	7.00
11-9199.01	Conventional	5.33
11-9199.02	Realistic	3.67
11-9199.02	Investigative	3.67
11-9199.02	Artistic	1.33
11-9199.02	Social	1.67
11-9199.02	Enterprising	5.33
11-9199.02	Conventional	5.67
11-9199.03	Realistic	1.00
