001	Alabama	AL
002	Alaska	AK
004	Arizona	AZ
005	Arkansas	AR
006	California	CA
008	Colorado	CO
009	Connecticut	CT
010	Delaware	DE
011	District of Columbia	DC
012	Florida	FL
013	Georgia	GA
015	Hawaii	HI
016	Idaho	ID
017	Illinois	IL
018	Indiana	IN
019	Iowa	IA
020	Kansas	KS
021	Kentucky	KY
022	Louisiana	LA
023	Maine	ME
024	Maryland	MD
025	Massachusetts	MA
026	Michigan	MI
027	Minnesota	MN
028	Mississippi	MS
029	Missouri	MO
030	Montana	MT
031	Nebraska	NE
032	Nevada	NV
033	New Hampshire	NH
034	New Jersey	NJ
035	New Mexico	NM
036	New York	NY
037	North Carolina	NC
038	North Dakota	ND
039	Ohio	OH
040	Oklahoma	OK
041	Oregon	OR
042	Pennsylvania	PA
044	Rhode Island	RI
045	South Carolina	SC
046	South Dakota	SD
047	Tennessee	TN
048	Texas	TX
049	Utah	UT
050	Vermont	VT
051	Virginia	VA
053	Washington	WA
054	West Virginia	WV
055	Wisconsin	WI
056	Wyoming	WY
072	Puerto Rico	PR
166	Europe	EUR
251	Eastern Asia	E_ASIA
254	Other Asia, Not Specified	O_ASIA
301	Canada	CAN
303	Mexico	MEX
399	Americas, Not Specified	AMNS
555	Other US Island Areas Not Specified, Africa, Oceania, at Sea, or Abroad, Not Specified	NS
