1110XX	MGR	Chief Executives And Legislators 
111021	MGR	General And Operations Managers
112011	MGR	Advertising And Promotions Managers
112020	MGR	Marketing And Sales Managers
112031	MGR	Public Relations And Fundraising Managers
113011	MGR	Administrative Services Managers
113021	MGR	Computer And Information Systems Managers
113031	MGR	Financial Managers
113111	MGR	Compensation And Benefits Managers
113121	MGR	Human Resources Managers
113131	MGR	Training And Development Managers
113051	MGR	Industrial Production Managers
113061	MGR	Purchasing Managers
113071	MGR	Transportation, Storage, And Distribution Managers
119013	MGR	Farmers, Ranchers, And Other Agricultural Managers
119021	MGR	Construction Managers
119030	MGR	Education Administrators
119041	MGR	Architectural And Engineering Managers
119051	MGR	Food Service Managers
119071	MGR	Gaming Managers
119081	MGR	Lodging Managers
119111	MGR	Medical And Health Services Managers
119121	MGR	Natural Sciences Managers
119141	MGR	Property, Real Estate, And Community Association Managers
119151	MGR	Social And Community Service Managers
119161	MGR	Emergency Management Directors
119XXX	MGR	Miscellaneous Managers, Including Funeral Service Managers And Postmasters And Mail Superintendents 
131011	BUS	Agents And Business Managers Of Artists, Performers, And Athletes
131021	BUS	Buyers And Purchasing Agents, Farm Products
131022	BUS	Wholesale And Retail Buyers, Except Farm Products
131023	BUS	Purchasing Agents, Except Wholesale, Retail, And Farm Products
131030	BUS	Claims Adjusters, Appraisers, Examiners, And Investigators
131041	BUS	Compliance Officers
131051	BUS	Cost Estimators
131070	BUS	Human Resources Workers
131081	BUS	Logisticians
131111	BUS	Management Analysts
131121	BUS	Meeting Convention, And Event Planners
131131	BUS	Fundraisers
131141	BUS	Compensation, Benefits, And Job Analysis Specialists
131151	BUS	Training And Development Specialists
131161	BUS	Market Research Analysts And Marketing Specialists
131199	BUS	Business Operations Specialists, All Other
132011	FIN	Accountants And Auditors
132021	FIN	Appraisers And Assessors Of Real Estate
132031	FIN	Budget Analysts
132041	FIN	Credit Analysts
132051	FIN	Financial Analysts
132052	FIN	Personal Financial Advisors
132053	FIN	Insurance Underwriters
132061	FIN	Financial Examiners
132070	FIN	Credit Counselors And Loan Officers
132081	FIN	Tax Examiners And Collectors, And Revenue Agents
132082	FIN	Tax Preparers
132099	FIN	Financial Specialists, All Other
151111	CMM	Computer And Information Research Scientists
151121	CMM	Computer Systems Analysts
151122	CMM	Information Security Analysts
151131	CMM	Computer Programmers
15113X	CMM	Software Developers, Applications And Systems Software*
151134	CMM	Web Developers
151141	CMM	Database Administrators
151142	CMM	Network And Computer Systems Administrators
151143	CMM	Computer Network Architects
151150	CMM	Computer Support Specialists
151199	CMM	Computer Occupations, All Other
152011	CMM	Actuaries
